"All crash data available using this tool represents reportable data collected from Texas Peace Officer's Crash Reports (CR-3) received and processed by the Texas Department of Transportation (Department) as of 03/08/2018. The Department makes no warranty, representation or guaranty as to the content, accuracy, timeliness or completeness of any of the information provided as a result of your query. Any opinions and conclusions resulting from analysis performed on the crash data must be represented as your own and not those of the State of Texas or the Department. "

"Query Result Counts:"
"Your query returned a total of 5,575 Crashes containing 8,263 Units and 10,045 Persons"

"Query Filters:"
"Crash Year Is Equal To 2018"
"  Crash Location is All of Texas"

"Managed Filters:"
"Speed Related Crashes"

"Crash ID","Agency","City","County","Crash Death Count","Crash Severity","Crash Time","Crash Total Injury Count","Crash Year","Day of Week","Latitude","Longitude","Manner of Collision","Population Group","Road Class","Speed Limit","Weather Condition","Vehicle Color","Person Age","Person Ethnicity","Person Gender","Person Type"
"16176655","Department Of Public Safety, State Of Texas","Rural Ector County","Ector","0","Possible Injury","0235","1","2018","Monday","31.78725944","-102.47681519","One Motor Vehicle - Going Straight","Rural","County Road","55","Clear","Black","42","Hispanic","Female","Passenger/Occupant"
"16177270","Department Of Public Safety, State Of Texas","Rural Upshur County","Upshur","0","Unknown","0000","0","2018","Monday","32.76888768","-94.78154423","One Motor Vehicle - Going Straight","Rural","Farm To Market","55","Clear","White","28","White","Male","Driver"
"16177565","Department Of Public Safety, State Of Texas","Rural Taylor County","Taylor","0","Not Injured","0900","0","2018","Monday","32.5037517","-99.63207979","One Motor Vehicle - Going Straight","Rural","County Road","45","Clear","Gray","28","White","Male","Driver"
"16177569","Dilley Police Department","Rural La Salle County","Lasalle","0","Not Injured","0855","0","2018","Monday","28.64360475","-99.17830086","One Motor Vehicle - Going Straight","Rural","Interstate","75","Cloudy","Silver","44","Hispanic","Male","Driver"
"16178209","Department Of Public Safety, State Of Texas","Donna","Hidalgo","0","Not Injured","0611","0","2018","Monday","26.18056762","-98.07444543","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","County Road","30","Rain","Silver","28","Hispanic","Female","Driver"
"16178209","Department Of Public Safety, State Of Texas","Donna","Hidalgo","0","Not Injured","0611","0","2018","Monday","26.18056762","-98.07444543","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","County Road","30","Rain","Silver","31","Hispanic","Male","Passenger/Occupant"
"16178331","Dilley Police Department","Rural Frio County","Frio","0","Not Injured","0930","0","2018","Monday","28.68108631","-99.18045297","One Motor Vehicle - Going Straight","Rural","Interstate","75","Cloudy","White","51","Hispanic","Male","Driver"
"16178331","Dilley Police Department","Rural Frio County","Frio","0","Not Injured","0930","0","2018","Monday","28.68108631","-99.18045297","One Motor Vehicle - Going Straight","Rural","Interstate","75","Cloudy","White","47","Hispanic","Female","Passenger/Occupant"
"16178331","Dilley Police Department","Rural Frio County","Frio","0","Not Injured","0930","0","2018","Monday","28.68108631","-99.18045297","One Motor Vehicle - Going Straight","Rural","Interstate","75","Cloudy","White","18","Hispanic","Female","Passenger/Occupant"
"16178781","San Antonio Police Department","San Antonio","Bexar","0","Not Injured","0145","0","2018","Monday","29.43057507","-98.62757081","One Motor Vehicle - Going Straight","250,000 Pop And Over","City Street","20","Clear","Gray","31","Hispanic","Female","Driver"
"16179261","Conroe Police Department","Conroe","Montgomery","0","Not Injured","0930","0","2018","Monday","30.37774537","-95.5325074","One Motor Vehicle - Going Straight","50,000 - 99,999 Pop","City Street","40","Cloudy","Blue","21","Hispanic","Male","Driver"
"16180102","Denison Police Department","Denison","Grayson","0","Unknown","0000","0","2018","Monday","33.78114037","-96.58289223","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","US & State Highways","50","Clear","Maroon","No Data","Unknown","Unknown","Driver"
"16180374","Department Of Public Safety, State Of Texas","Rural Hidalgo County","Hidalgo","0","Not Injured","0400","0","2018","Monday","26.23370382","-97.95982811","One Motor Vehicle - Going Straight","Rural","Farm To Market","55","Rain","Gray","25","Hispanic","Male","Driver"
"16180409","Department Of Public Safety, State Of Texas","Rural San Augustine County","San Augustine","0","Non-Incapacitating Injury","1625","1","2018","Monday","31.49588586","-94.16232579","One Motor Vehicle - Going Straight","Rural","County Road","55","Clear","White","58","Black","Male","Driver"
"16180601","Department Of Public Safety, State Of Texas","Rural Smith County","Smith","0","Not Injured","1745","0","2018","Monday","32.19465898","-95.17955159","One Motor Vehicle - Going Straight","Rural","County Road","60","Clear","Red","16","White","Male","Driver"
"16180601","Department Of Public Safety, State Of Texas","Rural Smith County","Smith","0","Not Injured","1745","0","2018","Monday","32.19465898","-95.17955159","One Motor Vehicle - Going Straight","Rural","County Road","60","Clear","Red","18","White","Male","Passenger/Occupant"
"16180820","Austin Police Department","Austin","Travis","0","Incapacitating Injury","1316","1","2018","Monday","30.33747533","-97.6604904","One Motor Vehicle - Going Straight","250,000 Pop And Over","City Street","35","Clear","Blue","24","White","Male","Driver Of Motorcycle Type Vehicle"
"16181076","Department Of Public Safety, State Of Texas","Rural Reeves County","Reeves","0","Not Injured","0000","0","2018","Monday","31.03388016","-103.91076337","One Motor Vehicle - Going Straight","Rural","Interstate","80","Cloudy","White","45","White","Male","Driver"
"16181076","Department Of Public Safety, State Of Texas","Rural Reeves County","Reeves","0","Not Injured","0000","0","2018","Monday","31.03388016","-103.91076337","One Motor Vehicle - Going Straight","Rural","Interstate","80","Cloudy","White","41","White","Female","Passenger/Occupant"
"16181171","Waco Police Department","Waco","McLennan","0","Unknown","0215","0","2018","Monday","31.5585945","-97.14736255","One Motor Vehicle - Going Straight","100,000 - 249,999 Pop","City Street","30","Snow","White","No Data","Unknown","Unknown","Driver"
"16181197","San Antonio Police Department","San Antonio","Bexar","0","Unknown","0253","0","2018","Monday","29.44393197","-98.55036407","One Motor Vehicle - Going Straight","250,000 Pop And Over","City Street","30","Clear","Silver","No Data","Unknown","Unknown","Driver"
"16181409","Department Of Public Safety, State Of Texas","Rural McLennan County","McLennan","0","Not Injured","0733","0","2018","Monday","31.65047313","-97.30677046","One Motor Vehicle - Going Straight","Rural","County Road","35","Clear","White","33","White","Male","Driver"
"16181995","Killeen Police Department","Killeen","Bell","0","Not Injured","0842","0","2018","Monday","31.05776246","-97.79821279","One Motor Vehicle - Going Straight","100,000 - 249,999 Pop","US & State Highways","60","Snow","Silver","34","Black","Male","Driver"
"16182000","Killeen Police Department","Killeen","Bell","0","Not Injured","1412","0","2018","Monday","31.05967578","-97.72194706","One Motor Vehicle - Going Straight","100,000 - 249,999 Pop","City Street","45","Clear","Red","19","Hispanic","Male","Driver"
"16182000","Killeen Police Department","Killeen","Bell","0","Not Injured","1412","0","2018","Monday","31.05967578","-97.72194706","One Motor Vehicle - Going Straight","100,000 - 249,999 Pop","City Street","45","Clear","Red","20","Amer. Indian/Alaskan Native","Male","Passenger/Occupant"
"16182247","Stafford Police Department","Stafford","Fort Bend","0","Not Injured","0107","0","2018","Monday","29.62800556","-95.5843077","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","US & State Highways","55","Clear","Silver","38","Other","Female","Driver"
"16182328","Department Of Public Safety, State Of Texas","Rural Ector County","Ector","0","Not Injured","0001","0","2018","Monday","31.78196918","-102.29819929","One Motor Vehicle - Going Straight","Rural","Farm To Market","55","Clear","Black","34","White","Male","Driver"
"16182346","Department Of Public Safety, State Of Texas","Rural McLennan County","McLennan","0","Unknown","0814","0","2018","Monday","31.77223399","-96.97909859","One Motor Vehicle - Going Straight","Rural","County Road","60","Cloudy","Gold","No Data","Unknown","Unknown","Driver"
"16182403","Department Of Public Safety, State Of Texas","Rural McLennan County","McLennan","0","Not Injured","0430","0","2018","Monday","31.69290717","-97.290848","One Motor Vehicle - Going Straight","Rural","Farm To Market","65","Sleet/Hail","Black","35","White","Male","Driver"
"16182610","Dallas Police Department","Dallas","Dallas","0","Unknown","0300","0","2018","Monday","32.73826426","-96.83215256","One Motor Vehicle - Going Straight","250,000 Pop And Over","City Street","30","Rain","Red","No Data","Unknown","Unknown","Driver"
"16182659","Austin Police Department","Austin","Travis","0","Unknown","0226","0","2018","Monday","30.2228774","-97.67910026","One Motor Vehicle - Going Straight","250,000 Pop And Over","US & State Highways","55","Cloudy","Gray","No Data","Unknown","Unknown","Driver"
"16182783","Donna Police Department","Donna","Hidalgo","0","Not Injured","0039","0","2018","Monday","No Data","No Data","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","Interstate","70","Rain","Gray","21","Hispanic","Female","Driver"
"16183137","San Antonio Police Department","San Antonio","Bexar","0","Unknown","1115","0","2018","Monday","29.3064288","-98.54904148","One Motor Vehicle - Going Straight","250,000 Pop And Over","City Street","35","Unknown","White","No Data","Unknown","Unknown","Driver"
"16184452","Dallas Police Department","Dallas","Dallas","1","Killed","0526","2","2018","Monday","32.9242051","-96.77392394","Same Direction - One Straight-One Stopped","250,000 Pop And Over","Interstate","70","Clear","Black","26","White","Male","Driver"
"16184452","Dallas Police Department","Dallas","Dallas","1","Killed","0526","2","2018","Monday","32.9242051","-96.77392394","Same Direction - One Straight-One Stopped","250,000 Pop And Over","Interstate","70","Clear","Maroon","21","White","Male","Passenger/Occupant"
"16184452","Dallas Police Department","Dallas","Dallas","1","Killed","0526","2","2018","Monday","32.9242051","-96.77392394","Same Direction - One Straight-One Stopped","250,000 Pop And Over","Interstate","70","Clear","No Data","19","Other","Male","Pedestrian"
"16184827","Plano Police Department","Plano","Collin","0","Not Injured","1147","0","2018","Monday","33.02552599","-96.64874534","One Motor Vehicle - Going Straight","250,000 Pop And Over","City Street","35","Clear","Maroon","16","White","Female","Driver"
"16185722","Department Of Public Safety, State Of Texas","Rural La Salle County","Lasalle","0","Not Injured","0720","0","2018","Monday","28.31635451","-99.27257677","One Motor Vehicle - Going Straight","Rural","Interstate","75","Sleet/Hail","White","35","Hispanic","Male","Driver"
"16185857","Department Of Public Safety, State Of Texas","Rural La Salle County","Lasalle","0","Non-Incapacitating Injury","1811","2","2018","Monday","28.64215741","-99.17843326","One Motor Vehicle - Going Straight","Rural","Interstate","75","Rain","Black","47","White","Male","Driver"
"16185857","Department Of Public Safety, State Of Texas","Rural La Salle County","Lasalle","0","Non-Incapacitating Injury","1811","2","2018","Monday","28.64215741","-99.17843326","One Motor Vehicle - Going Straight","Rural","Interstate","75","Rain","Black","38","Hispanic","Female","Passenger/Occupant"
"16185868","Department Of Public Safety, State Of Texas","Rural La Salle County","Lasalle","0","Not Injured","1024","0","2018","Monday","28.51691008","-99.21593201","One Motor Vehicle - Going Straight","Rural","Interstate","75","Sleet/Hail","White","27","White","Male","Driver"
"16186239","Department Of Public Safety, State Of Texas","Rural Coryell County","Coryell","0","Not Injured","0111","0","2018","Monday","31.37801246","-97.91586955","One Motor Vehicle - Going Straight","Rural","Farm To Market","60","Cloudy","Black","29","White","Male","Driver"
"16186246","Department Of Public Safety, State Of Texas","Rural Fannin County","Fannin","0","Non-Incapacitating Injury","0010","1","2018","Monday","33.5918537","-96.36065703","One Motor Vehicle - Going Straight","Rural","County Road","55","Cloudy","Red","16","White","Male","Driver"
"16186313","Department Of Public Safety, State Of Texas","Rural Hidalgo County","Hidalgo","0","Unknown","0300","0","2018","Monday","26.21428811","-97.90582674","One Motor Vehicle - Going Straight","Rural","County Road","30","Unknown","Blue","No Data","Unknown","Unknown","Driver"
"16186858","Department Of Public Safety, State Of Texas","Rural Navarro County","Navarro","0","Incapacitating Injury","0600","1","2018","Monday","31.93431647","-96.21967727","One Motor Vehicle - Going Straight","Rural","Farm To Market","55","Clear","Black","19","White","Male","Driver"
"16187070","Department Of Public Safety, State Of Texas","Rural Walker County","Walker","0","Not Injured","2030","0","2018","Monday","30.86018497","-95.74955214","One Motor Vehicle - Going Straight","Rural","Interstate","75","Rain","No Data","23","Other","Male","Driver"
"16187070","Department Of Public Safety, State Of Texas","Rural Walker County","Walker","0","Not Injured","2030","0","2018","Monday","30.86018497","-95.74955214","One Motor Vehicle - Going Straight","Rural","Interstate","75","Rain","No Data","23","Other","Male","Passenger/Occupant"
"16188108","Dilley Police Department","Dilley","Frio","0","Not Injured","1742","0","2018","Monday","28.67304351","-99.18387102","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","Blue","44","Other","Male","Driver"
"16188108","Dilley Police Department","Dilley","Frio","0","Not Injured","1742","0","2018","Monday","28.67304351","-99.18387102","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","Blue","64","Hispanic","Female","Passenger/Occupant"
"16188470","Dilley Police Department","Dilley","Frio","0","Possible Injury","0539","3","2018","Monday","28.67304351","-99.18387102","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","White","45","Hispanic","Female","Driver"
"16188470","Dilley Police Department","Dilley","Frio","0","Possible Injury","0539","3","2018","Monday","28.67304351","-99.18387102","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","White","9","Hispanic","Female","Passenger/Occupant"
"16188470","Dilley Police Department","Dilley","Frio","0","Possible Injury","0539","3","2018","Monday","28.67304351","-99.18387102","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","White","7","Hispanic","Female","Passenger/Occupant"
"16188518","Dilley Police Department","Dilley","Frio","0","Possible Injury","1650","4","2018","Monday","28.66870797","-99.18357437","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","Silver","64","Hispanic","Female","Driver"
"16188518","Dilley Police Department","Dilley","Frio","0","Possible Injury","1650","4","2018","Monday","28.66870797","-99.18357437","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","Silver","41","Hispanic","Female","Passenger/Occupant"
"16188518","Dilley Police Department","Dilley","Frio","0","Possible Injury","1650","4","2018","Monday","28.66870797","-99.18357437","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","Silver","45","Hispanic","Male","Passenger/Occupant"
"16188518","Dilley Police Department","Dilley","Frio","0","Possible Injury","1650","4","2018","Monday","28.66870797","-99.18357437","One Motor Vehicle - Going Straight","2,500 - 4,999 Pop","Interstate","75","Cloudy","Silver","2","Hispanic","Male","Passenger/Occupant"
"16188838","Department Of Public Safety, State Of Texas","Rural Frio County","Frio","0","Not Injured","1758","0","2018","Monday","28.68034306","-99.18103387","One Motor Vehicle - Going Straight","Rural","Interstate","75","Cloudy","White","22","White","Male","Driver"
"16188838","Department Of Public Safety, State Of Texas","Rural Frio County","Frio","0","Not Injured","1758","0","2018","Monday","28.68034306","-99.18103387","One Motor Vehicle - Going Straight","Rural","Interstate","75","Cloudy","White","18","White","Female","Passenger/Occupant"
"16190556","Department Of Public Safety, State Of Texas","Rural Hardin County","Hardin","0","Non-Incapacitating Injury","2040","1","2018","Monday","30.35319302","-94.14220394","One Motor Vehicle - Going Straight","Rural","US & State Highways","75","Cloudy","White","30","White","Female","Driver"
"16190784","Department Of Public Safety, State Of Texas","Rural Montgomery County","Montgomery","0","Not Injured","1311","0","2018","Monday","30.31116298","-95.73940843","One Motor Vehicle - Going Straight","Rural","County Road","40","Cloudy","Black","20","Hispanic","Male","Driver"
"16190999","Lubbock Police Department","Lubbock","Lubbock","0","Unknown","0905","0","2018","Monday","No Data","No Data","One Motor Vehicle - Turning Left","100,000 - 249,999 Pop","Non Trafficway","15","Clear","Blue","20","Black","Male","Driver"
"16191102","Department Of Public Safety, State Of Texas","Rural Washington County","Washington","0","Not Injured","0100","0","2018","Monday","30.27843429","-96.33568454","One Motor Vehicle - Going Straight","Rural","County Road","60","Cloudy","Black","18","White","Male","Driver"
"16192107","Department Of Public Safety, State Of Texas","Rural Hunt County","Hunt","0","Unknown","0107","0","2018","Monday","32.97037003","-96.12595939","One Motor Vehicle - Going Straight","Rural","County Road","35","Clear","Blue","19","White","Male","Driver"
"16192409","Department Of Public Safety, State Of Texas","Addison","Dallas","0","Not Injured","1357","0","2018","Monday","32.95126229","-96.82325111","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","Tollway","55","Clear","Tan","18","White","Female","Driver"
"16192409","Department Of Public Safety, State Of Texas","Addison","Dallas","0","Not Injured","1357","0","2018","Monday","32.95126229","-96.82325111","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","Tollway","55","Clear","White","35","Asian","Male","Driver"
"16192409","Department Of Public Safety, State Of Texas","Addison","Dallas","0","Not Injured","1357","0","2018","Monday","32.95126229","-96.82325111","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","Tollway","55","Clear","White","28","Asian","Female","Passenger/Occupant"
"16192409","Department Of Public Safety, State Of Texas","Addison","Dallas","0","Not Injured","1357","0","2018","Monday","32.95126229","-96.82325111","One Motor Vehicle - Going Straight","10,000 - 24,999 Pop","Tollway","55","Clear","White","5","Asian","Male","Passenger/Occupant"
"16193141","Harris County Sheriff's Office","Rural Harris County","Harris","0","Not Injured","2235","0","2018","Monday","No Data","No Data","One Motor Vehicle - Going Straight","Rural","US & State Highways","50","Clear","Silver","35","Black","Male","Driver"
"16193141","Harris County Sheriff's Office","Rural Harris County","Harris","0","Not Injured","2235","0","2018","Monday","No Data","No Data","One Motor Vehicle - Going Straight","Rural","US & State Highways","50","Clear","Silver","5","Black","Female","Passenger/Occupant"
"16193141","Harris County Sheriff's Office","Rural Harris County","Harris","0","Not Injured","2235","0","2018","Monday","No Data","No Data","One Motor Vehicle - Going Straight","Rural","US & State Highways","50","Clear","Silver","7","Black","Female","Passenger/Occupant"
"16193765","Department Of Public Safety, State Of Texas","Rural Smith County","Smith","0","Not Injured","1830","0","2018","Monday","32.39549611","-95.42788355","One Motor Vehicle - Going Straight","Rural","Tollway","60","Cloudy","Black","22","Hispanic","Male","Driver"
"16193765","Department Of Public Safety, State Of Texas","Rural Smith County","Smith","0","Not Injured","1830","0","2018","Monday","32.39549611","-95.42788355","One Motor Vehicle - Going Straight","Rural","Tollway","60","Cloudy","Black","23","Hispanic","Female","Passenger/Occupant"
"16193794","Department Of Public Safety, State Of Texas","Rural Orange County","Orange","0","Possible Injury","0024","1","2018","Monday","30.05049406","-93.81548685","One Motor Vehicle - Going Straight","Rural","US & State Highways","65","Clear","Gray","48","Asian","Female","Driver"
"16194181","Department Of Public Safety, State Of Texas","Rural Hidalgo County","Hidalgo","0","Possible Injury","0600","1","2018","Monday","26.26400633","-98.33389765","One Motor Vehicle - Going Straight","Rural","County Road","30","Rain","Black","21","Hispanic","Male","Driver"
"16194281","Department Of Public Safety, State Of Texas","Rural Bowie County","Bowie","0","Not Injured","2100","0","2018","Monday","33.38358572","-94.34768643","One Motor Vehicle - Going Straight","Rural","County Road","35","Clear","Red","26","Black","Male","Driver"
"16194281","Department Of Public Safety, State Of Texas","Rural Bowie County","Bowie","0","Not Injured","2100","0","2018","Monday","33.38358572","-94.34768643","One Motor Vehicle - Going Straight","Rural","County Road","35","Clear","Red","19","Black","Male","Passenger/Occupant"
"16194281","Department Of Public Safety, State Of Texas","Rural Bowie County","Bowie","0","Not Injured","2100","0","2018","Monday","33.38358572","-94.34768643","One Motor Vehicle - Going Straight","Rural","County Road","35","Clear","Red","29","White","Female","Passenger/Occupant"
"16194281","Department Of Public Safety, State Of Texas","Rural Bowie County","Bowie","0","Not Injured","2100","0","2018","Monday","33.38358572","-94.34768643","One Motor Vehicle - Going Straight","Rural","County Road","35","Clear","Red","14","Black","Male","Passenger/Occupant"
"16195234","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Possible Injury","1544","2","2018","Monday","29.14201786","-98.44343875","Opposite Direction - Both Going Straight","Rural","City Street","40","Cloudy","Red","61","Other","Female","Driver"
"16195234","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Possible Injury","1544","2","2018","Monday","29.14201786","-98.44343875","Opposite Direction - Both Going Straight","Rural","City Street","40","Cloudy","Red","71","Other","Male","Passenger/Occupant"
"16195234","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Possible Injury","1544","2","2018","Monday","29.14201786","-98.44343875","Opposite Direction - Both Going Straight","Rural","City Street","40","Cloudy","White","31","White","Male","Driver"
"16195234","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Possible Injury","1544","2","2018","Monday","29.14201786","-98.44343875","Opposite Direction - Both Going Straight","Rural","City Street","40","Cloudy","White","13","White","Male","Passenger/Occupant"
"16195234","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Possible Injury","1544","2","2018","Monday","29.14201786","-98.44343875","Opposite Direction - Both Going Straight","Rural","City Street","40","Cloudy","White","8","White","Male","Passenger/Occupant"
"16195234","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Possible Injury","1544","2","2018","Monday","29.14201786","-98.44343875","Opposite Direction - Both Going Straight","Rural","City Street","40","Cloudy","White","10","White","Male","Passenger/Occupant"
"16195234","Bexar County Law Enforcement","Rural Bexar County","Bexar","0","Possible Injury","1544","2","2018","Monday","29.14201786","-98.44343875","Opposite Direction - Both Going Straight","Rural","City Street","40","Cloudy","Black","24","Other","Female","Driver"
"16195810","Department Of Public Safety, State Of Texas","Rural McMullen County","McMullen","0","Not Injured","1858","0","2018","Monday","28.33329995","-98.56463078","One Motor Vehicle - Going Straight","Rural","US & State Highways","75","Rain","White","28","Hispanic","Male","Driver"
"16196112","Lubbock Police Department","Lubbock","Lubbock","0","Unknown","1020","0","2018","Monday","33.59974433","-101.80539128","One Motor Vehicle - Turning Left","100,000 - 249,999 Pop","City Street","30","Clear","Gray","24","Hispanic","Male","Driver"
